,r1,r2,r3,r3*Imax,Fde,Fst,d1,b2,thresh,ranks
0,1.941837212691128,0.014735846051069906,2.7098279779742947e-07,3.1908412905384753,0.5658480773877449,55.661630240555354,8.5,0.0,35306708.0,1.0
1,2.696293770696582,0.03147650695924115,2.906321007804835e-07,2.9772736828174837,0.591949563129404,69.56646085638636,3.0,0.0,30464262.0,2.0
2,1.9038435281387214,0.015475334830075701,3.5642085230167103e-07,3.1811271772432383,0.6021293592462751,54.33874243175999,8.0,0.0,26759168.0,1.0
3,2.4976083937381053,0.02763387452782814,2.2515166243579958e-07,3.0289174572922914,0.6030323998916458,64.19522939200606,3.0,0.0,40021295.0,2.0
4,2.2406535401635783,0.030756401432491205,2.7341547307534725e-07,2.891286898912909,0.608681044670385,73.11790381406081,2.0,0.0,31313680.0,3.0
5,3.1220865034988123,0.05331199674033976,2.653476376988345e-07,2.8446845005781545,0.6116807965430908,74.96518336931241,10.0,0.0,24479195.0,4.0
6,1.9899915561292192,0.029765748194504362,2.226832981420927e-07,2.933543452329211,0.6124041684576992,74.06980264029181,9.5,0.0,28112208.0,4.0
7,2.565516813051622,0.047511241638021576,2.7134122911724117e-07,2.8102492962825805,0.6133810946243068,74.9558082383449,10.0,0.0,22205691.0,5.0
8,2.1031414802743633,0.026812631188764147,2.9248810184058876e-07,3.0732610808946097,0.6149093113940932,60.709991645669845,10.0,0.0,31337301.0,2.0
9,2.326656944643283,0.021937696265735135,2.3509760486882125e-07,3.134836309479853,0.6175192001088537,53.52582394963816,10.0,0.0,39602422.0,1.0
10,2.359083974895301,0.018351736868534807,3.1944759276091026e-07,3.225515602452887,0.619490390715572,28.857678761490142,7.0,0.0,29974023.0,1.0
11,1.9305395845266071,0.015061032692838917,2.6416581229194877e-07,3.095165115674153,0.621419852559123,72.81364657406522,9.5,0.0,33353034.0,3.0
12,3.0812311763968636,0.05434568377955954,2.6482334721558977e-07,2.859093506571196,0.6228144691686486,75.23004338892474,9.0,0.0,24786466.0,6.0
13,2.008324821479157,0.031777176463363484,3.1173289165509894e-07,2.9405363443064236,0.6245948783048636,73.54736233028116,0.0,0.0,28125850.0,4.0
14,2.833263700946618,0.03899713459480169,2.51456039683472e-07,2.8483315946039838,0.6246394866688967,74.16803610773367,9.0,0.0,23177744.0,5.0
15,2.2842755629161604,0.024006197038764356,2.7171816335232304e-07,3.141792287020302,0.6263757846469294,50.84380881547671,10.0,0.0,34407161.0,2.0
16,3.231022659496087,0.0569639322441025,2.2955008074861123e-07,2.7616331763717987,0.6270540063570672,74.81767554657827,10.0,0.0,22334485.0,6.0
17,2.6377055193107326,0.05241919203272404,2.108096246576333e-07,2.7932040912648457,0.6289464241910463,75.2240553112531,10.0,0.0,25697678.0,7.0
18,1.5306657109807313,0.00932153516273654,3.4791060987375015e-07,3.340535268182844,0.6300684834800426,35.82747585303511,6.5,0.0,28793610.0,2.0
19,1.5467799519373053,0.013686387244565635,3.456057991717505e-07,3.202631170666426,0.6360154109302667,51.218161354326185,10.0,0.0,27784635.0,3.0
20,1.9787509297340464,0.035099685033019176,2.866327389399535e-07,2.860868662643112,0.6361575893736001,74.28152830013597,9.5,0.0,22795985.0,6.0
21,1.6497765125588082,0.02033573960728589,2.8435717284088036e-07,3.1143760345947182,0.6387574462740147,65.29450067612485,9.5,0.0,32839495.0,4.0
22,2.043366933938785,0.009199015555418185,3.037447162831877e-07,3.2979599466125773,0.6440882809487726,36.28270039429795,8.0,0.0,32301204.0,3.0
23,2.189452285027385,0.01945538644358335,3.5282935853590363e-07,3.20727029418539,0.6441972466733649,28.643374262459744,10.0,0.0,27020877.0,1.0
24,2.327423072071453,0.027133510742996383,2.249895993646864e-07,2.9070754334701117,0.6469938199020568,73.74821160930483,9.0,0.0,25022752.0,5.0
25,1.5733605545935865,0.017618519069247954,2.405052988558776e-07,3.1104131025069073,0.6475148896803907,69.143985137047,3.0,0.0,38783719.0,5.0
26,16.57139422816038,0.22068053896468356,2.388979901447393e-07,2.7439640227559927,0.6493533267203359,74.93218500894139,9.5,0.0,23486354.0,7.0
27,3.151756662008475,0.03193976044557251,2.8723013694420867e-07,2.9784265493000803,0.6504385406028721,73.44367757091123,9.0,0.0,23709881.0,6.0
28,2.0236997464332647,0.009791711866294886,3.3555417627438644e-07,3.2730799520675884,0.6511342371925116,37.934749384006324,9.0,0.0,28957386.0,4.0
29,54.09471254890648,0.6689578682829715,2.4922034378541657e-07,2.7539232858090092,0.6522628620305178,74.75299232696018,9.5,0.0,23110269.0,7.0
30,1.7662968136510997,0.014917369906465347,3.389454621566631e-07,3.2779480889662413,0.6530585044371082,36.32697251733087,10.0,0.0,28997030.0,4.0
31,5.38723984682619,0.09374582834745057,2.5279418595477857e-07,2.7269938448227764,0.6534834479416115,75.35972807834774,9.0,0.0,21498836.0,8.0
32,76.38596245232122,0.7819802713324973,2.3414760878394998e-07,2.799307002326749,0.6557627496514007,74.02439626974584,10.0,0.0,24529066.0,7.0
33,8.608869216139723,0.11121177286137565,2.3000894981558347e-07,2.802742038997031,0.6574108245015182,74.1962123646667,10.0,0.0,25093024.0,8.0
34,1.540494541542292,0.02153757274373263,2.573789008393523e-07,3.036608730308072,0.6578043613613599,73.11132472814916,8.5,0.0,28818520.0,6.0
35,89.27228589610935,1.190538887993019,2.098151053487428e-07,2.6888729603909693,0.6590070792760205,74.16039208320595,9.5,0.0,22322665.0,8.0
36,3.1509426682618247,0.06986292648205703,2.2241723544248512e-07,2.6700510561650153,0.6590453273904346,76.12805081136932,8.0,0.0,21102375.0,9.0
37,4.382692570777562,0.05982060294725166,2.1822806106918713e-07,2.8549933485184473,0.6598778677984625,74.52964443653026,9.0,0.0,27556705.0,9.0
38,41.53740526368764,0.6303529246117485,2.187138052295388e-07,2.6719886319869226,0.6605775265122784,74.5633212246183,9.0,0.0,21857646.0,10.0
39,3.0835777440903778,0.05660775783952289,2.3119053083907135e-07,2.8743736002094593,0.6617110653943746,75.1138552840325,9.0,0.0,28101163.0,11.0
40,2.0626477675388726,0.020839453663328403,3.895686507381532e-07,3.0937118776182966,0.6624651350210082,53.3771525436165,10.0,0.0,23534031.0,5.0
41,2.655292777003786,0.03813457343442117,3.2593537660198253e-07,2.867771932153836,0.6635588554729948,67.85266840399358,3.0,0.0,26089919.0,6.0
42,2.610111236755071,0.01910973918027057,3.589383371313231e-07,3.192928452422452,0.6641814261131638,32.07897534753617,9.0,0.0,26399479.0,2.0
43,2.0096507275840145,0.033581487378759815,2.3411672957217086e-07,2.978868511800545,0.6646113222276575,73.00678456721205,0.0,0.0,37943103.0,7.0
44,1.7735232553312488,0.015649381684364076,2.626717056301641e-07,3.0459813305440675,0.6646407087654564,72.19944553093957,10.0,0.0,32569871.0,7.0
45,52.871036467771496,0.541063051908911,2.5232960364486294e-07,2.7872202926705776,0.6646906471751644,74.21628693572127,9.0,0.0,21905442.0,9.0
46,79.81093927891467,0.7680069614123942,2.260916016497977e-07,2.8212481576845105,0.6657321046879573,73.95938251717735,9.0,0.0,25818069.0,8.0
47,36.82842436876925,0.440284301849881,2.2570824346153465e-07,2.798501405030298,0.6658770613340559,74.64341725156245,9.5,0.0,26868012.0,11.0
48,54.907691838593784,0.7889976847438734,2.080082313727134e-07,2.6971548592855763,0.6659055782147635,74.79396854045619,10.0,0.0,23063981.0,12.0
49,2.0541681141462216,0.010308395347683122,2.567801702464011e-07,3.238195719787416,0.6663426526231627,43.030178012196174,10.0,0.0,37373690.0,5.0
50,18.386192628605723,0.23352278556099043,2.356886697423085e-07,2.8086135142911823,0.6663538116754185,74.68579929134873,10.0,0.0,25550879.0,12.0
51,14.711364155915103,0.16891230359896223,2.493164268425886e-07,2.850222556998911,0.667406656372308,73.29144022423444,0.0,0.0,33852515.0,8.0
52,1.5913249822217104,0.012455392520674438,2.2746172247949373e-07,3.170773205440575,0.668058462101283,69.99686574096756,9.0,0.0,40077831.0,7.0
53,77.62037747831545,0.8188197128601635,2.0873672832045122e-07,2.7856303162896725,0.6688218326295577,74.12259078263367,9.5,0.0,25063285.0,9.0
54,66.44195352213336,0.9620977491099162,2.5698940550875783e-07,2.685249887349678,0.6700121275678494,74.69600451546515,9.0,0.0,20832180.0,13.0
55,4.474492260228944,0.09006932543041028,2.1983714221681563e-07,2.7674111937756467,0.6701835180165508,76.30548410654637,8.5,0.0,26104163.0,14.0
56,4.461665738311769,0.05393643666808096,2.5081615937551555e-07,2.8810003802722606,0.6707558356692914,74.08658168768419,8.0,0.0,25776374.0,9.0
57,29.30572720521837,0.4295077091425783,2.0634687004882522e-07,2.7143252637224924,0.670781161135737,74.79396854045619,10.0,0.0,23993635.0,14.0
58,1.7452850711578152,0.006503437631293763,3.9117068742420017e-07,3.529202117340705,0.671052497995166,16.684009016436327,1.5,0.0,27057930.0,1.0
59,2.0024349928457257,0.01457741569678384,2.360223631874289e-07,3.0892314042296083,0.6716110817204394,67.29194764027962,9.0,0.0,36035282.0,6.0
60,2.7175170307300007,0.017737196611529442,2.936679078569851e-07,3.2513249466358762,0.6718226831901274,32.46796366941606,9.0,0.0,32849435.0,3.0
61,78.08348992706313,0.8712833270992929,2.0503026413020046e-07,2.735391231762312,0.6728520145425916,74.20683642284133,10.0,0.0,23353623.0,10.0
62,2.2868878311035554,0.031094739925727654,2.5280066325660684e-07,3.069053396534421,0.6749801561757186,59.127725244805085,10.0,0.0,35992183.0,6.0
63,11.591349102981741,0.1648246880690247,2.2390461169644172e-07,2.6924600323804975,0.676611164877426,74.58218697382176,10.0,0.0,21642416.0,11.0
64,49.52870390695821,0.49337657607391083,2.118108470738928e-07,2.7966377728834577,0.6773240641806655,74.28339378307936,8.5,0.0,26121256.0,11.0
65,2.786656893953725,0.07179074310666819,2.4072499944984583e-07,2.6524304788559445,0.6775198457742528,76.4973682352441,10.0,0.0,19499981.0,15.0
66,2.9322878813375364,0.050236164196870915,3.149097654410667e-07,2.794309627320252,0.6783259588545624,75.01875027725455,9.0,0.0,19826275.0,15.0
67,2.534635496668018,0.013753029282165393,3.1631789418414803e-07,3.3352155759737574,0.6785968415594357,17.32605843050131,10.0,0.0,31325898.0,2.0
68,4.58633499740717,0.05974292963981689,2.958614796539839e-07,2.8855158443108775,0.678747446602867,73.15099684994506,9.5,0.0,28899521.0,8.0
69,1.711303838424893,0.00983031635511289,2.2335629734161153e-07,3.323027816873045,0.6790191722357823,53.254207813292716,8.5,0.0,44615150.0,6.0
70,16.191603565153006,0.18035941638180977,2.840020129344215e-07,2.84212907130719,0.6802018601681549,73.27176267837996,7.5,0.0,29635360.0,9.0
71,2.1470827783845348,0.02224885857509628,1.8793043962221817e-07,3.050247005647017,0.6802284071896744,67.7977795454764,0.5,0.0,48105291.0,7.0
72,3.2176992626540377,0.07020911379729432,1.8386875029472547e-07,2.691708678711545,0.6804781047534577,75.6951966261944,9.0,0.0,22995899.0,16.0
73,9.701851976944575,0.20261232951243208,2.13897637573544e-07,2.6224370680208646,0.6804912458220571,76.23108656599668,8.5,0.0,20837733.0,17.0
74,1.6948745105357776,0.010170711716411323,3.9085594907079334e-07,3.400300160074247,0.68112260973621,23.457963234156928,7.0,0.0,26087778.0,3.0
75,1.8143972388216056,0.0375596836851402,2.8507361212543263e-07,2.880259230944591,0.6818187108416015,74.34418308004864,10.0,0.0,23670097.0,12.0
76,64.31274542476183,0.8489868324579064,2.674205803680101e-07,2.6871358279745783,0.6823419292398506,74.41763429026875,9.0,0.0,18739700.0,13.0
77,2.0394667015892582,0.01673789602031815,2.1254959299248588e-07,3.2146230915628635,0.6824170931773951,54.981356651684436,10.0,0.0,44763790.0,7.0
78,49.239612715058655,0.8458047814890279,2.351858395869221e-07,2.618802869404268,0.6830075265408219,76.0729012790764,9.0,0.0,19836365.0,17.0
79,5.676283593747195,0.07981571194431347,2.3705423723815812e-07,2.760967957135777,0.6834347813378732,74.77976676072387,9.5,0.0,22422255.0,14.0
80,17.181840261790494,0.2916324528172241,2.6390491727328276e-07,2.6806837612899845,0.6839666178575878,75.44636792437748,8.5,0.0,20319802.0,16.0
81,33.092196957977144,0.5984616696713122,2.2424887453618306e-07,2.6175680024918258,0.6842767361946195,76.60626847878879,9.5,0.0,20026837.0,18.0
82,39.68981600769187,0.7066242325489525,2.2995343326047695e-07,2.6200343099504324,0.68492462566316,76.48856832547023,9.0,0.0,19605976.0,18.0
83,2.6072591243280243,0.023686827798044964,2.623216091837362e-07,3.1889093749943616,0.6854824662421773,41.88309821470521,9.0,0.0,36085876.0,5.0
84,4.309429738805053,0.05164579656779397,3.001304254735184e-07,2.940180652815478,0.686708178070922,74.16419169924386,9.5,0.0,23834810.0,10.0
85,3.4209428914627105,0.04909506274510961,3.355297276752198e-07,2.905826567599507,0.6875980766465024,74.33735063347453,10.0,0.0,20932726.0,12.0
86,26.076219084038815,0.3159907613252548,1.989749633731005e-07,2.790429612211345,0.687772991956632,74.397076718021,10.0,0.0,27574878.0,13.0
87,2.539566870690224,0.0455490316251371,2.8686845861020004e-07,2.9467200941433,0.6877873822083875,69.55600210822138,3.0,0.0,30696530.0,8.0
88,47.6177149417304,0.6361967503204126,2.0973309970282011e-07,2.764369945514071,0.6893436437257447,74.90713056461394,8.5,0.0,27405999.0,15.0
89,4.065967357007793,0.05343161184432874,2.289336626163368e-07,2.9504552930973715,0.690201356958786,74.08872679964824,10.0,0.0,30298470.0,10.0
90,3.815597769313862,0.06806049787671123,3.138748068979414e-07,2.7826141789223864,0.6905545976659335,74.97155518055703,10.0,0.0,19511683.0,16.0
91,4.985616153352257,0.0874197385615132,1.8525361150430716e-07,2.7543134007282255,0.6905634311768154,75.38378083750013,7.5,0.0,27447874.0,17.0
92,5.680047673066389,0.142320626624105,2.1755932319324938e-07,2.5927875517852406,0.691073897148753,77.42379990917064,9.0,0.0,19552242.0,19.0
93,2.8584931735567976,0.037783375408721086,2.3750626555078393e-07,3.03527152845837,0.6914995253533331,74.05059166513615,9.0,0.0,31956312.0,10.0
94,27.120145933583245,0.2746266159592648,2.56376086891173e-07,2.7815134400800035,0.692790313002749,74.0196138046316,9.5,0.0,20276965.0,10.0
95,4.711258461557856,0.10637806867545485,2.6724126783072417e-07,2.645075429956755,0.6935010908467106,76.43931804571054,8.5,0.0,18064514.0,18.0
96,1.76938315165812,0.008412388481217104,2.2751689538505027e-07,3.3170597522854246,0.6935516003250978,56.48511509819761,9.0,0.0,43719875.0,8.0
97,3.897152428229062,0.04216829734805191,2.6864412878325067e-07,3.024926657649274,0.694004178916815,70.85525966105101,10.0,0.0,33375746.0,9.0
98,11.607678910958258,0.12657481825795128,2.461262561413841e-07,2.79737900484048,0.6940090050147509,74.49866043542998,10.0,0.0,21253789.0,14.0
99,1.9068657007427614,0.0048166518231309635,3.1574535390612327e-07,3.5752690088388093,0.6946718417394776,19.113498907132755,0.0,0.0,33960914.0,3.0
