,r1,r2,r3,r3*Imax,Fde,Fst,d1,b2,thresh,ranks
0,1.941837212691128,0.014735846051069906,2.7098279779742947e-07,3.1908412905384753,0.5658480773877449,8.7245789218044,0.0,4.583333333333334,470384761.0,1.0
1,2.696293770696582,0.03147650695924115,2.906321007804835e-07,2.9772736828174837,0.591949563129404,8.753003756201712,0.0,3.125,3491013649.0,2.0
2,1.9038435281387214,0.015475334830075701,3.5642085230167103e-07,3.1811271772432383,0.6021293592462751,8.791841319068338,0.0,3.541666666666667,3323912223.0,3.0
3,2.4976083937381053,0.02763387452782814,2.2515166243579958e-07,3.0289174572922914,0.6030323998916458,8.693301291413551,0.0,2.916666666666667,5974831746.0,1.0
4,2.2406535401635783,0.030756401432491205,2.7341547307534725e-07,2.891286898912909,0.608681044670385,9.468530617435604,0.0,2.916666666666667,4173531818.0,4.0
5,3.1220865034988123,0.05331199674033976,2.653476376988345e-07,2.8446845005781545,0.6116807965430908,9.615447567144576,0.0,2.916666666666667,5023610087.0,5.0
6,1.9899915561292192,0.029765748194504362,2.226832981420927e-07,2.933543452329211,0.6124041684576992,9.185536118993328,0.0,3.125,4401059285.0,4.0
7,2.565516813051622,0.047511241638021576,2.7134122911724117e-07,2.8102492962825805,0.6133810946243068,10.138310902328149,0.0,3.125,3439582159.0,6.0
8,2.1031414802743633,0.026812631188764147,2.9248810184058876e-07,3.0732610808946097,0.6149093113940932,7.7467878350808945,0.0,3.3333333333333335,4920135375.0,1.0
9,2.326656944643283,0.021937696265735135,2.3509760486882125e-07,3.134836309479853,0.6175192001088537,8.083321033397866,0.0,3.541666666666667,3655125143.0,2.0
10,2.359083974895301,0.018351736868534807,3.1944759276091026e-07,3.225515602452887,0.619490390715572,7.167055163576383,0.0,3.75,1967467788.0,1.0
11,1.9305395845266071,0.015061032692838917,2.6416581229194877e-07,3.095165115674153,0.621419852559123,9.352032789670446,0.0,2.916666666666667,5102566104.0,5.0
12,3.0812311763968636,0.05434568377955954,2.6482334721558977e-07,2.859093506571196,0.6228144691686486,9.485885769897106,0.0,2.916666666666667,4313952538.0,6.0
13,2.008324821479157,0.031777176463363484,3.1173289165509894e-07,2.9405363443064236,0.6245948783048636,9.057121730399105,0.0,3.125,3761509511.0,4.0
14,2.833263700946618,0.03899713459480169,2.51456039683472e-07,2.8483315946039838,0.6246394866688967,8.40084359452989,0.0,2.916666666666667,4604150120.0,3.0
15,2.2842755629161604,0.024006197038764356,2.7171816335232304e-07,3.141792287020302,0.6263757846469294,8.006860346343139,0.0,2.916666666666667,6782322893.0,2.0
16,3.231022659496087,0.0569639322441025,2.2955008074861123e-07,2.7616331763717987,0.6270540063570672,10.179867591996615,0.0,3.3333333333333335,2235296715.0,7.0
17,2.6377055193107326,0.05241919203272404,2.108096246576333e-07,2.7932040912648457,0.6289464241910463,10.191251293112922,0.0,3.75,786024466.0,8.0
18,1.5306657109807313,0.00932153516273654,3.4791060987375015e-07,3.340535268182844,0.6300684834800426,8.687946122759522,0.0,4.166666666666667,1753116414.0,4.0
19,1.5467799519373053,0.013686387244565635,3.456057991717505e-07,3.202631170666426,0.6360154109302667,9.60326039104125,0.0,2.291666666666667,14105722949.0,7.0
20,1.9787509297340464,0.035099685033019176,2.866327389399535e-07,2.860868662643112,0.6361575893736001,9.833570370926571,0.0,3.541666666666667,2177120299.0,8.0
21,1.6497765125588082,0.02033573960728589,2.8435717284088036e-07,3.1143760345947182,0.6387574462740147,9.212834513340288,0.0,3.125,5718888971.0,5.0
22,2.043366933938785,0.009199015555418185,3.037447162831877e-07,3.2979599466125773,0.6440882809487726,9.08370018237855,0.0,3.75,1917508904.0,5.0
23,2.189452285027385,0.01945538644358335,3.5282935853590363e-07,3.20727029418539,0.6441972466733649,7.414352407530724,0.0,3.9583333333333335,2495983583.0,2.0
24,2.327423072071453,0.027133510742996383,2.249895993646864e-07,2.9070754334701117,0.6469938199020568,9.46883422412845,0.0,2.916666666666667,3124590500.0,6.0
25,1.5733605545935865,0.017618519069247954,2.405052988558776e-07,3.1104131025069073,0.6475148896803907,8.721490252658722,0.0,3.125,5330959687.0,5.0
26,16.57139422816038,0.22068053896468356,2.388979901447393e-07,2.7439640227559927,0.6493533267203359,8.880773735275794,0.0,2.7083333333333335,2928558227.0,6.0
27,3.151756662008475,0.03193976044557251,2.8723013694420867e-07,2.9784265493000803,0.6504385406028721,8.548601615193665,0.0,3.3333333333333335,2428177560.0,4.0
28,2.0236997464332647,0.009791711866294886,3.3555417627438644e-07,3.2730799520675884,0.6511342371925116,8.618653721689562,0.0,4.166666666666667,1127383298.0,5.0
29,54.09471254890648,0.6689578682829715,2.4922034378541657e-07,2.7539232858090092,0.6522628620305178,8.86140786390122,0.0,3.75,727634321.0,6.0
30,1.7662968136510997,0.014917369906465347,3.389454621566631e-07,3.2779480889662413,0.6530585044371082,7.69883636191613,0.0,3.75,3319789804.0,3.0
31,5.38723984682619,0.09374582834745057,2.5279418595477857e-07,2.7269938448227764,0.6534834479416115,7.860301540748908,0.0,3.125,2267275781.0,4.0
32,76.38596245232122,0.7819802713324973,2.3414760878394998e-07,2.799307002326749,0.6557627496514007,7.082074880860509,0.0,3.125,1428657419.0,1.0
33,8.608869216139723,0.11121177286137565,2.3000894981558347e-07,2.802742038997031,0.6574108245015182,8.53840964248692,0.0,2.7083333333333335,5306372715.0,5.0
34,1.540494541542292,0.02153757274373263,2.573789008393523e-07,3.036608730308072,0.6578043613613599,9.493714821224875,0.0,3.125,5535474080.0,7.0
35,89.27228589610935,1.190538887993019,2.098151053487428e-07,2.6888729603909693,0.6590070792760205,8.366758883086964,0.0,2.5,3838838885.0,5.0
