,r1,r2,r3,r3*Imax,Fde,Fst,d1,b2,thresh,ranks,desol_inds
0,1.941837212691128,0.014735846051069906,2.7098279779742947e-07,3.1908412905384753,0.5658480773877449,55.661630240555354,8.5,0.0,35306708.0,1.0,0
2,1.9038435281387214,0.015475334830075701,3.5642085230167103e-07,3.1811271772432383,0.6021293592462751,54.33874243175999,8.0,0.0,26759168.0,1.0,2
9,2.326656944643283,0.021937696265735135,2.3509760486882125e-07,3.134836309479853,0.6175192001088537,53.52582394963816,10.0,0.0,39602422.0,1.0,9
10,2.359083974895301,0.018351736868534807,3.1944759276091026e-07,3.225515602452887,0.619490390715572,28.857678761490142,7.0,0.0,29974023.0,1.0,10
23,2.189452285027385,0.01945538644358335,3.5282935853590363e-07,3.20727029418539,0.6441972466733649,28.643374262459744,10.0,0.0,27020877.0,1.0,23
58,1.7452850711578152,0.006503437631293763,3.9117068742420017e-07,3.529202117340705,0.671052497995166,16.684009016436327,1.5,0.0,27057930.0,1.0,58
