,r1,r2,r3,r3*Imax,Fde,Fst,d1,b2,thresh,ranks,desol_inds
0,1.941837212691128,0.014735846051069906,2.7098279779742947e-07,3.1908412905384753,0.5658480773877449,8.66555705101783,0.0,1.7000000000000002,7339343.0,1.0,0
2,1.9038435281387214,0.015475334830075701,3.5642085230167103e-07,3.1811271772432383,0.6021293592462751,8.01455401175042,0.0,2.0,4812384.0,1.0,2
8,2.1031414802743633,0.026812631188764147,2.9248810184058876e-07,3.0732610808946097,0.6149093113940932,7.45748737736259,0.0,0.7,20418202.0,1.0,8
23,2.189452285027385,0.01945538644358335,3.5282935853590363e-07,3.20727029418539,0.6441972466733649,6.833004176570659,0.0,1.8,6883778.0,1.0,23
74,1.6948745105357776,0.010170711716411323,3.9085594907079334e-07,3.400300160074247,0.68112260973621,6.338037951916343,0.0,1.7000000000000002,7966600.0,1.0,74
